"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"Optimix","https://optimix.fr","","www.linkedin.com/company/optimix-ffr","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@opti-mix.fr","340 Avenue de la Marne
Parc Europe Bâtiment 11
59700 Marcq-en-Baroeul
FRANCE
contact@opti-mix.fr
https://optimix.fr","How to optimize your Supply Chain, despite supply disruptions and biased sales history","","DATA","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Predictive tools / Statistical tools / Multi-channel analysis
MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Price comparison engines / Online shopping guide
RETAIL TECH / DIGITAL IN STORE
AI
Softwares / ERP / Analytics","Solutions Workshops","How to optimize your Supply Chain, despite supply disruptions and biased sales history","",""
"SENSORMATIC","https://www.sensormatic.com/fr_fr/","","https://www.linkedin.com/company/sensormatic/","https://twitter.com/sensormatic","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","estelle.loussouarn@jci.com","5, Avenue du Chemin des Presles
94410 Saint-Maurice
FRANCE
estelle.loussouarn@jci.com
https://www.sensormatic.com/fr_fr/","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","",""
"Custplace","https://business.custplace.com/","","https://www.linkedin.com/company/custplace/","https://twitter.com/custplace","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@custplace.com","125 rue du Théâtre
75015 Paris
FRANCE
contact@custplace.com
https://business.custplace.com/","KparK case study: how customer reviews have a very positive impact on business performance ?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Study / Marketing research
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","Solutions Workshops","KparK case study: how customer reviews have a very positive impact on business performance ?","",""
"PROGMAG","http://www.progmag.com","","https://www.linkedin.com/company/progmag/?viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@progmag.com","ZA de Clairac
260 Rue Saint Exupéry
26760 Beaumont-les-Valence
FRANCE
commercial@progmag.com
http://www.progmag.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Websites development / E-shops
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"DMA FRANCE","http://www.dmafrance.org/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","68 Boulevard Saint Marcel
75005 Paris
FRANCE

http://www.dmafrance.org/","Reconciling Data Marketing and GDPR","","","","Solutions Workshops","Reconciling Data Marketing and GDPR","",""
"BALEEN","https://baleen.cloud/","","https://www.linkedin.com/showcase/73250787","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","philippe.fischer@cshield.io","120-126 Quai de Bacalan 
33000 Bordeaux 
FRANCE
philippe.fischer@cshield.io
https://baleen.cloud/","How Cdiscount optimizes its user experience to maximize its conversion rate in a crisis context ?","","MARKETING","IT FOR COMMERCE
E-commerce platforms
MARKETING / DATA / CUSTOMER RELATIONS
Securing data
RETAIL TECH / DIGITAL IN STORE
AI","Solutions Workshops","How Cdiscount optimizes its user experience to maximize its conversion rate in a crisis context ?","",""
"CB","http://www.cartes-bancaires.com","https://www.facebook.com/CartesCB/","https://www.linkedin.com/company/gie-cartes-bancaires/","https://twitter.com/CartesCb","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@cartes-bancaires.com","151 bis, rue Saint-Honoré
75001 Paris
FRANCE
communication@cartes-bancaires.com
http://www.cartes-bancaires.com","E.merchants, how to optimize your conversion rate with Paiement Sécurisé CB?","CB is the French card and mobile payment scheme. Market leader, CB settled more than 65% of the domestic consumption.","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Biometrics
Contactless payment
Cyber security
M-payment
Online payment
Payment card solutions
Secure payment","Solutions Workshops","E.merchants, how to optimize your conversion rate with Paiement Sécurisé CB?","",""
"SOEASYLOG","https://www.soeasylog.com/","https://www.facebook.com/Soeasylog/","https://www.linkedin.com/showcase/soeasylog/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@soeasylog.com","4 Rue Louis Saillant
93600 Aulnay-sous-Bois
FRANCE
contact@soeasylog.com
https://www.soeasylog.com/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Order management
Warehouse Management / Inventory Management / Financial Management","","","",""
"YOOBIC","https://yoobic.com/","","https://www.linkedin.com/company/5143366/admin/","https://twitter.com/YOOBIC","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cbaerd@yoobic.com","152 boulevard Haussmann
75008 Paris
FRANCE
cbaerd@yoobic.com
https://yoobic.com/","Zadig & Voltaire and Rexel : 2 perspectives on how they optimised communication and operations with YOOBIC","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Apps
RETAIL TECH / DIGITAL IN STORE
Mobile applications","Solutions Workshops","Zadig & Voltaire and Rexel : 2 perspectives on how they optimised communication and operations with YOOBIC","",""
"MIRAKL","http://www.mirakl.com","","https://www.linkedin.com/company/mirakl/?originalSubdomain=fr","https://twitter.com/mirakl_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@mirakl.com","12 rue de Lübeck
75116 Paris
FRANCE
contact@mirakl.com
http://www.mirakl.com","Kiabi accelerates its digital transformation to become the number 1 omnichannel marketplace for families","","MARKETPLACES","IT FOR COMMERCE
Marketplace / Professional seller","Solutions Workshops","Kiabi accelerates its digital transformation to become the number 1 omnichannel marketplace for families","",""
"Freshworks","https://www.freshworks.com/fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hugo.danaguezian@freshworks.com","22 Rue Chauchat
75009 Paris
FRANCE
hugo.danaguezian@freshworks.com
https://www.freshworks.com/fr/","5 mistakes to avoid if you want to modernise your customer service","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Loyalty","Solutions Workshops","5 mistakes to avoid if you want to modernise your customer service","",""
"Partner Tech Europe GmbH","https://partner-tech.eu/","","https://www.linkedin.com/company/partner-tech-europe-gmbh/","https://twitter.com/PartnerEurope","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@partner-tech.eu","Beim Umspannwerk 10
22844 Norderstedt 
GERMANY
info@partner-tech.eu
https://partner-tech.eu/","","As a member of the QISDA Group, Partner Tech is since 1990 a leading POS developer. Partner Tech creates a Platformconomy for every sector worldwide with future technology.","NEW MEANS OF PAYMENT","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Digital signage
Interactive terminals
Self-scanning
Touch screens / Touch tables
Vending Machines / Robotics","","","",""
"DELIVENGO","https://mydelivengo.laposte.fr/easy/","","https://www.linkedin.com/showcase/la-poste-solutions-business/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","patricia.ramonet@laposte.fr","5 rue du Colonel Pierre Avia
CP Y803
75757 Paris cedex 15
FRANCE
patricia.ramonet@laposte.fr
https://mydelivengo.laposte.fr/easy/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics","","","",""
"nfinite","https://www.nfinite.app/","www.facebook.com/nfiniteapp","www.linkedin.com/company/nfiniteapp/","https://twitter.com/nfiniteapp","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","luis@nfinite.app","13 rue Jean Paul Allaux
33100 Bordeaux
FRANCE
luis@nfinite.app
https://www.nfinite.app/","3D & Digitalization: E. Leclerc is reinventing its commercial communication to improve performance","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
Marketing automation","Solutions Workshops","3D & Digitalization: E. Leclerc is reinventing its commercial communication to improve performance","",""
"YOO SOFT","http://www.yoo-soft.com","www.facebook.com/yoosoft","www.linkedin.com/company/yoosoft","www.linkedin.com/company/yoosoft","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@yoo-soft.com","Cap Omega
Rond-point Benjamin Franklin
34000 Montpellier
FRANCE
hello@yoo-soft.com
http://www.yoo-soft.com","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Mobile applications
Softwares / ERP / Analytics","","","",""
"VOXPAY","http://www.voxpay.fr","https://www.facebook.com/Voxpay.fr","https://fr.linkedin.com/company/voxpay","https://twitter.com/voxpayment","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@voxpay.fr","5 avenue du General de Gaulle
94160 Saint-Mandé
FRANCE
contact@voxpay.fr
http://www.voxpay.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","","","",""
"Membrace","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/arm.svg","ARMENIA","","Arshakunyac str., 49-22
0026 YEREVAN
ARMENIA","","","","","","","",""
"Noticia","https://www.noticia.ai/","","https://www.linkedin.com/company/noticiasas/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@noticia.ai","15 rue Desbordes Valmore
75116 Paris
FRANCE
contact@noticia.ai
https://www.noticia.ai/","","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"Kaptain Charlie","https://kaptaincharlie.com/","","https://www.linkedin.com/company/kaptain-charlie/","https://twitter.com/KaptainCharlie","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@kaptaincharlie.com","16 villa Deshayes
75014 Paris
FRANCE
hello@kaptaincharlie.com
https://kaptaincharlie.com/","","","DATA","RETAIL TECH / DIGITAL IN STORE
Mobile applications
Softwares / ERP / Analytics","","","",""
"BOTIFY","http://www.botify.com","https://www.facebook.com/botify/","https://www.linkedin.com/company/botify/","https://twitter.com/botify","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@botify.com","12 rue d'Amsterdam
75009 Paris
FRANCE
marketing@botify.com
http://www.botify.com","Automating organic search (SEO) to boost your online sales","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA","Solutions Workshops","Automating organic search (SEO) to boost your online sales","",""
"rapitag","https://rapitag.com/","","https://www.linkedin.com/company/rapitag","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/usa.svg","UNITED STATES","order@rapitag.com","99 Wall Street #4711
1000 New York City
UNITED STATES
order@rapitag.com
https://rapitag.com/","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Self-scanning","","","",""
"GK SOFTWARE SE","http://www.gk-software.com/fr/","","https://www.linkedin.com/company/gk-software/","https://twitter.com/GK_Software_SE","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@gk-software.com","Waldstrasse 7
08261 Schöneck
GERMANY
info@gk-software.com
http://www.gk-software.com/fr/","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
AI
Checkout & POS terminal / Self-checkout
Self-scanning","","","GK GO","GK GO is the future of retail. It enables Grab&Go shopping 24/7, without the hassle of scanning or waiting at the checkout. Registration, payment, and information exchange take place via the customer's device. GK GO is hardware-independent and uses state-of-the-art technologies for item recognition."
"Talkdesk","http://talkdesk.com/fr-fr/","https://www.facebook.com/Talkdesk/","https://www.linkedin.com/company/talkdesk/","https://twitter.com/Talkdesk","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/prt.svg","PORTUGAL","giorgio.barone@talk.talkdesk.com","Rua Pedro Nunes
Edifício IPN D, 1º Piso
3030-199 Coimbra
PORTUGAL
giorgio.barone@talk.talkdesk.com
http://talkdesk.com/fr-fr/","How AI and Automation Help Brands Deliver the Best CX ? Farfetch’s Example","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Conversational commerce (bots,..)
CRM / Customer Relations Center","Solutions Workshops","How AI and Automation Help Brands Deliver the Best CX ? Farfetch’s Example","",""
"TUT TUT","http://www.tut-tut.com","https://www.facebook.com/Tuttutfrance","https://www.linkedin.com/company/tut-tut-france/","https://www.linkedin.com/company/tut-tut-france/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@tut-tut.com","114 route des Rémouleurs
84000 Avignon
FRANCE
contact@tut-tut.com
http://www.tut-tut.com"," CSR policy applied to logistics","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery","Solutions Workshops","CSR policy applied to logistics","",""
"FAMOCO","http://www.famoco.com","","https://www.linkedin.com/company/famoco/","https://twitter.com/famoco","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@famoco.com","55 rue des Francs Bourgeois
75004 Paris
FRANCE
marketing@famoco.com
http://www.famoco.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets","","","",""
"LYF","https://www.lyf.eu/fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","aude.schapiro@lyf.eu","4 rue Frédéric-Guillaume Raiffeisen
67000 Strasbourg
FRANCE
aude.schapiro@lyf.eu
https://www.lyf.eu/fr/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
RETAIL TECH / DIGITAL IN STORE
Mobile applications","","","",""
"HUB ONE","http://www.hubone.fr","","","https://twitter.com/Hub_One","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","information@hubone.fr","Continental Square 1
Bâtiment Mercure
2 place de Londres
93290 Tremblay-en-France
FRANCE
information@hubone.fr
http://www.hubone.fr","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
RFID / Multichannel traceability","","","",""
"EURATECHNOLOGIES","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","Place de Saintignon
165 av de Bretagne
59000 Lille
FRANCE","","","","","","","",""
"DISPLAY MEDIA","http://www.displaymedia.fr","https://www.facebook.com/displaymediafr","https://www.linkedin.com/company/display-media/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@displaymedia.fr","ZA Belle Aire
1 rue Vasco de Gama
17440 Aytre
FRANCE
contact@displaymedia.fr
http://www.displaymedia.fr","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Digital signage
Interactive terminals","","","",""
"MOBILE MARKETING ASSOCIATION FRANCE (MMA)","https://www.mobilemarketing.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cooordination@mmaf.fr","159 Rue Montmartre
75002 Paris
FRANCE
cooordination@mmaf.fr
https://www.mobilemarketing.fr/","Before, during, after the purchase, in store, online...: the winning combinations of digital","","","","Solutions Workshops","Before, during, after the purchase, in store, online...: the winning combinations of digital","",""
"FEDERATION FRANCAISE DE LA FRANCHISE (FFF)","https://www.franchise-fff.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@franchise-fff.com","29 boulevard de Courcelles
75008 Paris
FRANCE
info@franchise-fff.com
https://www.franchise-fff.com/","How franchise networks have taken over digital: brand content, local growth lever, ….. The example of the POKAWA brand!","","","","Solutions Workshops","How franchise networks have taken over digital: brand content, local growth lever, ….. The example of the POKAWA brand!","",""
"KEYNEO","http://www.keyneo.com","https://www.facebook.com/Keyneosoft","https://www.linkedin.com/company/keyneo/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@keyneo.com","214 rue de Lille
59290 Wasquehal
FRANCE
contact@keyneo.com
http://www.keyneo.com","Boost your CSR! Digital and omnichannel retailing facilitating stock optimisation & pooling, ship from store, second life. With Finisterestes29, antifood waste","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Softwares / ERP / Analytics","Solutions Workshops","Boost your CSR! Digital and omnichannel retailing facilitating stock optimisation & pooling, ship from store, second life. With Finisterestes29, antifood waste","",""
